0.143,-0.208,-0.932,-2.38,-2.014,-0.549,-165.839,15.348,1.599
0.156,-0.172,-0.938,-2.808,0.122,3.845,-165.959,15.364,1.593
0.176,-0.171,-0.948,-2.625,1.526,2.014,-166.036,15.337,1.533
0.173,-0.194,-0.945,1.038,-0.793,-3.296,-166.097,15.304,1.703
0.145,-0.192,-0.937,0.0,-2.441,1.221,-166.102,15.359,1.857
0.144,-0.204,-0.932,-1.038,0.244,0.61,-166.097,15.403,1.895
0.131,-0.188,-0.947,-1.343,1.648,0.793,-166.146,15.375,1.917
0.171,-0.178,-0.949,0.122,4.761,0.183,-166.174,15.205,1.906
0.186,-0.186,-0.945,1.953,0.244,0.793,-166.108,15.09,1.95
0.146,-0.187,-0.949,2.625,-1.465,0.61,-166.003,15.145,2.005
0.157,-0.207,-0.932,1.953,0.793,0.122,-165.872,15.128,2.071
0.151,-0.201,-0.934,0.366,1.709,1.404,-165.822,15.101,2.093
0.154,-0.205,-0.937,0.183,2.93,0.854,-165.784,15.002,2.065
0.167,-0.179,-0.945,-1.282,2.808,3.845,-165.795,14.865,1.961
0.166,-0.188,-0.939,0.793,2.625,1.038,-165.767,14.766,1.895
0.168,-0.178,-0.936,1.526,2.93,0.427,-165.718,14.65,1.895
0.175,-0.214,-0.926,1.77,3.113,-2.502,-165.624,14.474,2.016
0.157,-0.223,-0.935,-1.343,5.188,-3.784,-165.619,14.277,2.197
0.183,-0.177,-0.962,-5.676,6.836,-2.075,-165.817,13.942,2.34
0.223,-0.168,-0.955,-0.183,4.395,-0.916,-165.959,13.64,2.428
0.211,-0.172,-0.932,2.197,-0.244,2.747,-165.916,13.557,2.461
0.195,-0.199,-0.935,4.456,-0.366,2.075,-165.729,13.574,2.417
0.198,-0.219,-0.933,1.282,-0.488,0.0,-165.575,13.568,2.483
0.176,-0.211,-0.938,-1.831,-1.404,-2.93,-165.602,13.596,2.648
0.183,-0.191,-0.939,-4.089,1.77,-4.639,-165.795,13.519,2.928
0.193,-0.169,-0.932,-0.854,0.549,0.549,-165.927,13.442,3.065
0.186,-0.185,-0.934,3.052,0.488,2.502,-165.828,13.442,3.043
0.192,-0.201,-0.932,2.441,0.549,3.174,-165.657,13.431,2.955
0.188,-0.203,-0.933,2.441,0.916,1.16,-165.526,13.42,2.928
0.187,-0.212,-0.939,1.099,0.793,0.305,-165.427,13.37,2.955
0.193,-0.209,-0.934,0.793,1.831,0.305,-165.372,13.321,2.977
0.204,-0.218,-0.937,0.061,-0.061,-0.732,-165.344,13.26,3.049
0.187,-0.198,-0.941,-0.366,0.427,2.991,-165.339,13.282,3.065
0.198,-0.195,-0.933,-0.244,-0.732,2.686,-165.306,13.277,3.01
0.178,-0.191,-0.931,0.671,-0.488,1.465,-165.278,13.332,2.955
0.184,-0.201,-0.931,-0.183,1.099,-0.671,-165.256,13.315,3.016
0.187,-0.192,-0.928,1.343,1.77,-1.465,-165.262,13.25,3.076
0.196,-0.196,-0.929,0.854,0.977,-0.549,-165.234,13.167,3.175
0.198,-0.218,-0.941,1.282,1.709,-1.404,-165.174,13.09,3.257
0.208,-0.224,-0.938,-1.343,0.61,-0.122,-165.163,13.013,3.356
0.196,-0.194,-0.938,-1.16,-0.61,0.732,-165.234,13.03,3.373
0.189,-0.183,-0.938,0.0,-0.916,-0.244,-165.273,13.041,3.428
0.196,-0.198,-0.92,1.892,-0.366,-0.183,-165.218,13.052,3.527
0.173,-0.199,-0.919,2.869,0.061,-0.122,-165.114,13.09,3.565
0.195,-0.221,-0.926,2.136,1.831,-1.831,-165.004,12.997,3.664
0.19,-0.222,-0.934,-0.427,1.587,-0.305,-164.965,12.903,3.735
0.209,-0.212,-0.938,-0.244,2.319,-0.549,-164.976,12.805,3.768
0.197,-0.201,-0.942,-0.671,0.061,2.075,-164.987,12.777,3.774
0.209,-0.2,-0.932,0.183,-0.183,1.587,-164.971,12.777,3.724
0.19,-0.196,-0.934,0.61,-0.183,0.427,-164.949,12.816,3.741
0.193,-0.205,-0.923,0.305,-0.916,-1.038,-164.938,12.816,3.823
0.194,-0.207,-0.93,1.16,0.671,0.0,-164.921,12.816,3.884
0.184,-0.208,-0.934,-0.244,0.854,0.732,-164.894,12.788,3.895
0.205,-0.212,-0.929,-0.488,2.319,-1.465,-164.905,12.7,3.922
0.206,-0.198,-0.93,-0.122,0.671,0.854,-164.938,12.64,3.944
0.197,-0.197,-0.936,1.099,0.061,1.038,-164.905,12.623,3.922
0.207,-0.223,-0.924,0.671,1.831,1.587,-164.828,12.585,3.895
0.2,-0.2,-0.928,0.0,0.366,2.625,-164.817,12.574,3.774
0.212,-0.212,-0.933,0.244,0.61,1.953,-164.778,12.535,3.702
0.194,-0.21,-0.932,-0.854,0.549,1.099,-164.778,12.541,3.686
0.21,-0.201,-0.936,0.0,1.343,0.366,-164.8,12.486,3.686
0.219,-0.199,-0.933,0.671,0.183,1.038,-164.784,12.448,3.675
0.205,-0.222,-0.926,1.343,-0.244,-0.183,-164.713,12.469,3.719
0.187,-0.204,-0.932,-0.488,-0.427,0.366,-164.724,12.491,3.757
0.221,-0.208,-0.928,0.549,1.526,1.099,-164.702,12.42,3.741
0.199,-0.211,-0.934,0.916,-0.61,1.465,-164.652,12.442,3.708
0.209,-0.214,-0.927,0.488,-0.061,0.122,-164.614,12.453,3.708
0.191,-0.196,-0.922,0.916,1.221,1.465,-164.608,12.464,3.697
0.201,-0.208,-0.934,2.197,1.099,0.732,-164.515,12.415,3.636
0.213,-0.225,-0.927,0.549,1.77,-0.366,-164.443,12.338,3.653
0.206,-0.217,-0.934,0.488,0.916,-2.197,-164.443,12.272,3.735
0.219,-0.217,-0.931,0.977,0.916,0.366,-164.41,12.2,3.807
0.203,-0.228,-0.923,0.0,-1.282,0.0,-164.366,12.2,3.829
0.186,-0.224,-0.919,-0.793,1.587,-1.282,-164.377,12.211,3.9
0.214,-0.209,-0.928,-0.916,0.977,0.366,-164.432,12.134,3.906
0.209,-0.201,-0.936,1.404,0.854,-0.488,-164.421,12.101,3.889
0.215,-0.231,-0.929,0.793,0.671,-2.197,-164.355,12.03,4.005
0.221,-0.22,-0.931,0.916,0.427,-0.183,-164.339,12.008,4.054
0.22,-0.216,-0.92,1.343,-1.282,2.014,-164.273,12.041,4.026
0.204,-0.231,-0.925,0.366,-1.77,0.671,-164.202,12.118,3.999
0.202,-0.223,-0.923,-0.977,-0.549,-0.549,-164.218,12.162,4.043
0.193,-0.203,-0.925,-0.427,-0.427,1.221,-164.257,12.2,4.043
0.2,-0.205,-0.928,0.671,0.61,0.0,-164.235,12.189,4.005
0.215,-0.216,-0.922,0.916,1.282,-1.831,-164.202,12.129,4.07
0.212,-0.225,-0.918,1.404,0.916,-4.15,-164.185,12.063,4.235
0.213,-0.226,-0.931,0.732,0.0,-2.686,-164.18,11.986,4.411
0.206,-0.217,-0.941,-0.549,0.488,-0.549,-164.191,11.959,4.537
0.222,-0.217,-0.929,0.977,0.366,-1.343,-164.174,11.926,4.587
0.197,-0.2,-0.918,1.892,-1.465,-0.916,-164.147,11.97,4.658
0.204,-0.219,-0.92,2.869,0.916,-1.282,-164.037,11.953,4.724
0.209,-0.232,-0.915,1.587,1.16,-2.014,-163.927,11.893,4.796
