0.115,-0.982,0.099,-1.038,-0.549,1.343,-80.931,17.814,-46.747
0.115,-0.982,0.094,-0.488,0.122,1.404,-80.991,17.88,-46.637
0.11,-0.988,0.1,0.793,0.0,0.977,-80.991,17.924,-46.56
0.116,-0.981,0.103,-0.305,0.122,0.61,-81.008,17.974,-46.478
0.115,-0.987,0.098,0.916,-0.122,-0.488,-81.008,17.957,-46.384
0.123,-0.983,0.108,0.183,0.244,0.916,-80.997,17.968,-46.307
0.111,-0.984,0.103,-0.61,-0.671,1.587,-81.03,18.029,-46.203
0.108,-0.984,0.098,-0.305,0.061,1.587,-81.074,18.105,-46.104
0.11,-0.985,0.102,0.671,0.244,0.61,-81.074,18.149,-46.033
0.119,-0.988,0.104,0.305,-0.244,0.488,-81.063,18.166,-45.945
0.116,-0.987,0.106,-0.61,-0.549,1.099,-81.09,18.193,-45.84
0.116,-0.983,0.104,-1.465,-0.793,2.014,-81.161,18.265,-45.736
0.114,-0.989,0.101,-1.465,-0.977,2.625,-81.249,18.358,-45.621
0.109,-0.989,0.104,-1.404,-1.709,2.319,-81.332,18.457,-45.489
0.105,-0.986,0.095,-3.54,-1.77,2.563,-81.486,18.561,-45.324
0.096,-0.983,0.083,-1.587,-1.831,0.854,-81.639,18.627,-45.165
0.107,-0.985,0.089,-0.977,-0.427,1.465,-81.711,18.666,-45.049
0.112,-0.988,0.099,-1.648,-1.465,2.563,-81.788,18.754,-44.951
0.1,-0.99,0.096,-2.93,-2.258,3.479,-81.914,18.88,-44.786
0.098,-0.989,0.085,-3.357,-2.441,3.174,-82.09,19.023,-44.599
0.09,-0.987,0.075,-2.38,-2.197,2.258,-82.244,19.133,-44.429
0.092,-0.984,0.077,-1.465,-0.854,1.953,-82.359,19.215,-44.308
0.092,-0.988,0.077,-0.916,-0.61,1.831,-82.43,19.297,-44.231
0.081,-0.987,0.074,-0.427,-0.732,1.16,-82.469,19.358,-44.154
0.083,-0.985,0.071,0.793,0.122,-0.061,-82.48,19.374,-44.099
0.086,-0.983,0.076,1.77,1.343,-0.183,-82.425,19.374,-44.116
0.092,-0.988,0.079,3.357,0.671,-1.465,-82.304,19.33,-44.16
0.094,-0.991,0.086,3.357,1.77,-1.587,-82.145,19.259,-44.22
0.104,-0.982,0.094,2.014,1.343,-0.977,-82.029,19.193,-44.291
0.099,-0.988,0.088,1.831,0.793,0.732,-81.953,19.193,-44.308
0.096,-0.989,0.089,2.686,1.038,0.366,-81.848,19.226,-44.302
0.102,-0.992,0.101,2.441,1.648,-0.732,-81.716,19.193,-44.341
0.108,-0.992,0.107,0.854,0.854,0.488,-81.639,19.177,-44.379
0.096,-0.987,0.101,-0.244,-0.488,1.282,-81.628,19.21,-44.352
0.089,-0.986,0.09,-0.549,0.305,0.916,-81.656,19.248,-44.308
0.101,-0.983,0.092,1.221,1.221,0.183,-81.656,19.276,-44.33
0.091,-0.993,0.102,1.587,0.854,0.854,-81.579,19.292,-44.352
0.094,-0.984,0.099,1.099,0.183,-0.916,-81.524,19.286,-44.341
0.102,-0.99,0.098,1.831,0.793,-1.16,-81.464,19.215,-44.335
0.109,-0.982,0.11,1.343,0.488,0.61,-81.387,19.199,-44.346
0.101,-0.99,0.108,-0.122,-0.183,1.831,-81.365,19.243,-44.319
0.092,-0.986,0.1,-0.427,0.0,1.648,-81.392,19.319,-44.297
0.096,-0.99,0.101,0.977,0.061,0.061,-81.376,19.336,-44.275
0.098,-0.987,0.106,0.061,0.061,0.366,-81.354,19.33,-44.242
0.099,-0.985,0.103,-0.122,0.061,0.977,-81.365,19.352,-44.22
0.091,-0.986,0.102,0.0,-0.122,1.16,-81.376,19.391,-44.176
0.098,-0.988,0.104,0.366,0.061,0.061,-81.37,19.413,-44.143
0.091,-0.987,0.105,-0.671,-0.061,1.221,-81.365,19.413,-44.105
